,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,142,N 91151101,HEXAGON HEAD BOLT WITH WASHER,FA-16,FRONT AXLE,481,,,,,,,,,,Counted,,,
,143,N 91157401,HEXAGON FLANGE NUT,RA-7,REAR AXLE,50,,,,,,,,,,Counted,,,
,144,N 91193901,HEXAGON HEAD SCREW FOR TP,CC-42,CONSOLE,154,,,,,,,,,,Counted,,,
,145,N 91201301,HEXAGON HEAD BOLT WITH WASHER,RA-6,REAR AXLE,34,,,,,,,,,,Counted,,,
,146,N 91205601,DUO HEXAGON FLANGE BOLT,FA-33,FRONT AXLE,85,,,,,,,,,,Counted,,,
,147,N 91208802,TRIPLE SQUARE PAN HEAD BOLT,FA-25,FRONT AXLE,107,,,,,,,,,,Counted,,,
,148,N 91228901,HEXAGON HEAD BOLT WITH WASHER,RA-13,REAR AXLE,509,,,,,,,,,,Counted,,,
,149,N 91229001,12-POINT SOCKET BOLT WITH WASHER,RA-30,REAR AXLE,257,,,,,,,,,,Counted,,,
,150,N 91236301,HEXAGON FLANGE SCREW W.WASHER,RA-25,REAR AXLE,23,,,,,,,,,,Counted,,,
,151,N 91237101,HEXAGON FLANGE SCREW W.WASHER,RA-55,REAR AXLE,86,,,,,,,,,,Counted,,,
,152,N 91242501,"CLIP-ON NUT, PREV. TORQUE TYPE",FA-26,FRONT AXLE,233,,,,,,,,,,Counted,,,
,153,N 91246701,12-POINT SOCKET FLANGE BOLT,FA-29,FRONT AXLE,273,,,,,,,,,,Counted,,,
,154,WHT001987,PREV.TORQUE HEX. C LAMP NUT W.WASHER,FA-4,FRONT AXLE,260,,,,,,,,,,Counted,,,
,155,WHT002305,SQUARE NUT,FA-12,FRONT AXLE,176,,,,,,,,,,Counted,,,
,156,WHT005338,HEXALOBULAR SOCKET SCREW WITH FLANGE,CC-6,CONSOLE,195,,,,,,,,,,Counted,,,
,157,WHT005372,12-POINT SOCKET BO LT WITH WASHER,FA-15,FRONT AXLE,73,,,,,,,,,,Counted,,,
,158,WHT006496,HEXAGON FLANGE SCR EW W.WASHER,RA-31,REAR AXLE,31,,,,,,,,,,Counted,,,
,159,WHT006662,HEXAGON HEAD BOLT WITH WASHER,FA-11,FRONT AXLE,37,,,,,,,,,,Counted,,,
,160,WHT007028,12 POINT BOLT,FA-3,FRONT AXLE,74,,,,,,,,,,Counted,,,
,161,WHT007041A,ECCENTRIC WASHER,RA-38,REAR AXLE,20,,,,,,,,,,Counted,,,
