,No,Material,PART NAME,Storage Bin,Location,TACT,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,298,4M0864483P 4PK,"LINING, REAR END",T15-12,B22,15 RHS,10,,,,,,,,,,Verified,AMMAR,
,299,4M0864043A,INSULATION,M100-17,B22,M100,0,,,,,,,,,,Counted,,DIRECT B17
,304,4M0854819H S9R,WHEEL TRIM,T14-23,B22,10 LHS,1,,,,,,,,,,Verified,NEESHAN,
,305,4M0854819H Y9T,WHEEL TRIM,T14-23,B22,10 LHS,3,5,,,,,,,,,Verified,NEESHAN,
,306,4M0854819H J5L,WHEEL TRIM,T14-23,B22,10 LHS,4,,,,,,,,,,Verified,NEESHAN,
,307,4M0854819H Z7S,WHEEL TRIM,T14-23,B22,10 LHS,1,10,,,,,,,,,Verified,NEESHAN,
,308,4M0854820H S9R,WHEEL TRIM,T14-25,B22,10 LHS,2,,,,,,,,,,Verified,NEESHAN,
,309,4M0854820H Y9T,WHEEL TRIM,T14-25,B22,10 LHS,1,7,,,,,,,,,Verified,NEESHAN,
,310,4M0854820H J5L,WHEEL TRIM,T14-25,B22,10 LHS,4,,,,,,,,,,Verified,NEESHAN,
,311,4M0854820H Z7S,WHEEL TRIM,T14-25,B22,10 LHS,1,10,,,,,,,,,Verified,NEESHAN,
,312,4M0853025J S9R,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,Dah verified
,313,4M0853025J Y9T,WHEEL TRIM,T10-37,B22,10 LHS,1,1,,,,,,,,,Verified,NEESHAN,
,314,4M0853025J J5L,WHEEL TRIM,T10-37,B22,10 LHS,1,1,,,,,,,,,Verified,NEESHAN,
,315,4M0853025J Z7S,WHEEL TRIM,T10-37,B22,10 LHS,1,1,1,,,,,,,,Verified,NEESHAN,
,316,4M0853026J S9R,WHEEL TRIM,T10-73,B22,10 LHS,0,,,,,,,,,,Counted,,Dah verified
,317,4M0853026J Y9T,WHEEL TRIM,T10-73,B22,10 LHS,1,1,,,,,,,,,Verified,NEESHAN,
,318,4M0853026J J5L,WHEEL TRIM,T10-73,B22,10 LHS,1,1,1,,,,,,,,Verified,NEESHAN,
,319,4M0853026J Z7S,WHEEL TRIM,T10-73,B22,10 LHS,1,1,,,,,,,,,Verified,NEESHAN,
,320,4M0616105F,SHIELD,T10-61,B22,10 RHS,0,,,,,,,,,,Counted,,Direct B17
,321,5G2955405D 03C,WIPER LEVER,GT14-43,B22,14 LHS,18,4,,,,,,,,,Verified,Hazizie,
,322,5G2955406F 03C,WIPER LEVER,GT14-44,B22,14 LHS,17,9,,,,,,,,,Verified,Hazizie,
,323,3C06011739B9,"CAP,WHEELBOLT",GT15-01,B22,15 LHS,76,,,,,,,,,,Verified,Hazizie,
